CRITERIA,Brand,Nama Paket,RBP VORI (Rp),RBP Rebuy (Rp),RBP Inject (Rp),Harga End User (Rp),Kuota S (GB),Kuota E (GB),Kuota A (GB),Masa Aktif
HARIAN,IM3,FIS 5GB 1 Hari,,7.000,7.500,8.000,5.0,5.0,5.0,1
HARIAN,IM3,FIS 7GB 1 Hari,,8.000,8.500,10.000,7.0,7.0,7.0,1
HARIAN,IM3,FIS 6GB 2 Hari,9.200,9.500,10.000,12.000,6.0,6.0,6.0,2
HARIAN,IM3,FIS 3.5GB 3 Hari,11.600,12.300,12.800,14.000,3.5,3.5,3.5,3
HARIAN,IM3,FIS 6GB 3 Hari,,13.200,13.700,15.000,6.0,8.0,8.0,3
HARIAN,IM3,FIS 4GB 5 Hari,13.200,13.500,14.000,15.000,4.0,5.0,5.0,5
HARIAN,IM3,FIS 6GB 5 Hari,15.100,15.100,15.600,17.000,6.0,6.0,6.0,5
HARIAN,IM3,FIS 9GB 5 Hari,16.800,17.500,18.000,20.000,9.0,9.0,9.0,5
HARIAN,IM3,FIS 9GB 7 Hari,23.400,23.500,24.000,25.000,9.0,13.0,13.0,7
HARIAN,IM3,FIS 17GB 7 Hari,,29.100,29.600,32.000,17.0,22.0,22.0,7
HARIAN,IM3,FIS 7GB 14 Hari,,22.000,22.500,25.000,7.0,7.0,7.0,14
HARIAN,IM3,FIS 10GB 14 Hari,,27.500,28.000,30.000,10.0,10.0,10.0,14
HARIAN,IM3,Freedom Spesial 20GB 3 Hari,,17.500,18.000,20.000,20.0,20.0,20.0,3
HARIAN,IM3,Freedom Spesial 30GB 5 Hari,,27.000,27.500,30.000,30.0,30.0,30.0,5
HARIAN,IM3,Freedom Spesial 75GB 7 Hari,,46.000,46.500,50.000,75.0,75.0,75.0,7
HARIAN,3ID,Happy 6GB 1 Hari,,7.000,7.500,8.000,6.0,6.0,6.0,1
HARIAN,3ID,Happy 10GB 1 Hari,,8.000,8.500,10.000,10.0,10.0,10.0,1
HARIAN,3ID,Happy 7GB 2 Hari,,9.500,10.000,12.000,7.0,7.0,7.0,2
HARIAN,3ID,Happy 3.5GB 3 Hari,,12.300,12.800,14.000,3.5,5.5,5.5,3
HARIAN,3ID,Happy 8GB 3 Hari,,13.000,13.500,15.000,8.0,10.0,10.0,3
HARIAN,3ID,Happy 10GB 5 Hari,,17.500,18.000,20.000,10.0,10.0,10.0,5
HARIAN,3ID,Happy 11GB 5 Hari,,20.700,21.200,22.000,11.0,11.0,11.0,5
HARIAN,3ID,Happy 10GB 7 Hari,,23.500,24.000,25.000,10.0,15.0,15.0,7
HARIAN,3ID,Happy 7GB 14 Hari,,22.000,22.500,25.000,7.0,8.0,8.0,14
HARIAN,3ID,Happy 10GB 14 Hari,,27.500,28.000,30.000,10.0,10.0,10.0,14
HARIAN,3ID,Happy Favorit Spesial 20GB 3 Hari,,17.000,17.500,20.000,20.0,20.0,20.0,3
HARIAN,3ID,Happy Favorit Spesial 30GB 5 Hari,,26.700,27.200,30.000,30.0,30.0,30.0,5
HARIAN,3ID,Happy Favorit Spesial 75GB 7 Hari,,45.600,46.100,50.000,75.0,75.0,75.0,7
BULANAN,IM3,FI 7GB 28 Hari,,33.000,33.500,35.000,7,7,7,28
BULANAN,IM3,FI 10GB 28 Hari,,38.000,38.500,40.000,10,10,10,28
BULANAN,IM3,FI 16GB 28 Hari,,46.500,47.000,50.000,16,16,16,28
BULANAN,IM3,FI 24GB 28 Hari,,56.000,56.500,60.000,24,24,24,28
BULANAN,IM3,FI 30GB 28 Hari,,65.000,65.500,70.000,30,30,30,28
BULANAN,IM3,FI 40GB 28 Hari,,74.000,74.500,80.000,40,40,40,28
BULANAN,IM3,FI 65GB 28 Hari,,94.000,94.500,100.000,65,65,65,28
BULANAN,IM3,FI 100GB 28 Hari,,119.000,119.500,125.000,100,100,100,28
BULANAN,IM3,FI 150GB 28 Hari,,144.000,144.500,150.000,150,150,150,28
BULANAN,IM3,FI KITA 65GB 30 Hari,,100.000,100.500,100.000,65,65,65,30
BULANAN,IM3,FI 30GB 30 Hari,,55.800,56.500,59.000,30,30,30,30
BULANAN,IM3,FI 60GB 30 Hari,,92.600,93.100,99.000,60,60,60,30
BULANAN,IM3,FI 90GB 30 Hari,,130.700,131.200,139.000,90,90,90,30
BULANAN,IM3,Freedom Spesial 150GB 28 Hari,,140.300,140.800,150.000,150,150,150,28
BULANAN,IM3,Freedom Spesial 300GB 28 Hari,,187.000,187.500,200.000,300,300,300,28
BULANAN,IM3,Freedom Spesial 1024GB 360 Hari,,935.000,935.500,1.000.000,1024,1024,1024,360
BULANAN,IM3,Freedom U 5.5GB 30 Hari,,37.800,38.300,39.000,5.5,5.5,5.5,30
BULANAN,IM3,Freedom U 10GB 30 Hari,,60.500,61.000,63.000,10,10,10,30
BULANAN,IM3,Freedom U 20GB 30 Hari,,85.200,85.700,90.000,20,20,20,30
BULANAN,IM3,Freedom U 35GB 30 Hari,,108.100,108.600,115.000,35,35,35,30
BULANAN,IM3,Freedom U 45GB 30 Hari,,120.500,121.000,126.000,45,45,45,30
BULANAN,IM3,Freedom U 90GB 30 Hari,,157.800,158.300,165.000,90,90,90,30
BULANAN,3ID,Happy 7GB 28D,,33.000,33.500,35.000,7,7,7,28
BULANAN,3ID,Happy 10GB 28D,,38.000,38.500,40.000,10,10,10,28
BULANAN,3ID,Happy 16GB 28D,,46.500,47.000,50.000,16,16,16,28
BULANAN,3ID,Happy 18GB 28D,,51.500,52.000,65.000,18,18,18,28
BULANAN,3ID,Happy 24GB 28D,,56.000,56.500,60.000,24,24,24,28
BULANAN,3ID,Happy 30GB 28D,,65.000,65.500,70.000,30,30,30,28
BULANAN,3ID,Happy 42GB 28D,,79.000,79.500,85.000,42,42,42,28
BULANAN,3ID,Happy 65GB 28D,,94.000,94.500,100.000,65,65,65,28
BULANAN,3ID,Happy 100GB 28D,,119.000,119.500,125.000,100,100,100,28
BULANAN,3ID,Happy 150GB 28D,,144.000,144.500,150.000,150,150,150,28
BULANAN,3ID,Happy LRS 65GB 30D,,93.500,94.000,100.000,65,65,65,30
BULANAN,3ID,Happy Setahun 55GB 60D,,98.500,99.000,104.000,55,55,55,60
BULANAN,3ID,Happy Setahun 75GB 60D,,142.000,142.500,150.000,75,75,75,60
BULANAN,3ID,Happy Setahun 175GB 180D,,332.000,332.500,340.000,175,175,175,180
BULANAN,3ID,Happy Setahun 250GB 365D,,474.000,474.500,490.000,250,250,250,365
BULANAN,3ID,Happy Spesial 30GB 30D,,50.976,51.476,59.000,30,30,30,30
BULANAN,3ID,Happy Spesial 60GB 30D,,85.091,85.591,99.000,60,60,60,30
BULANAN,3ID,Happy Spesial 90GB 30D,,110.876,111.376,129.000,90,90,90,30
BULANAN,3ID,Happy Spesial 1TB 360D,,935.000,935.500,1.000.000,1024,1024,1024,360
BULANAN,3ID,AON 5GB,,30.000,30.500,34.000,5,5,5,Follow SIM
BULANAN,3ID,AON 6GB,,32.500,33.000,38.000,8,8,8,Follow SIM
BULANAN,3ID,AON 9GB,,48.500,49.000,56.000,9,12,12,Follow SIM
BULANAN,3ID,AON 12GB,,60.500,61.000,66.000,12,16,16,Follow SIM
BULANAN,3ID,AON 40GB,,114.000,114.500,120.000,40,52,52,Follow SIM
BULANAN,3ID,AON 26GB,,84.500,85.000,90.000,26,26,26,Follow SIM
BULANAN,3ID,Happy Favorit Spesial 65GB 28D,,94.000,94.500,100.000,65,65,65,28
BULANAN,3ID,Happy Favorit Spesial 150GB 28D,,140.000,140.500,150.000,150,150,150,28
HARIAN,IM3,FREEDOM INTERNET 5G 9GB 1D,,10.200,,12.000,9,9,9,1
HARIAN,IM3,FREEDOM INTERNET 5G 12GB 5D,,18.920,,22.000,12,12,12,5
HARIAN,IM3,FREEDOM INTERNET 5G 26GB 7D,,32.000,,34.000,26,26,26,7
BULANAN,IM3,FREEDOM INTERNET 5G 12GB 30D,,46.080,46.080,48.000,12,12,12,30
